"# Section 1: AUC delta (handwritten vs minimal-edit negatives), correct vs *_hard"
encoder,gold_mode,gold_length,variant,auc_handwritten,auc_minimal,delta
intfloat/multilingual-e5-base,same_language_gold,full_sentence,hinglish,0.45999999999999996,0.725,0.265
google/muril-base-cased,english_gold,short,en,0.29000000000000004,0.5944444444444444,0.3044444444444444
google/muril-base-cased,english_gold,short,hi,0.2839506172839506,0.5493827160493827,0.2654320987654321
google/muril-base-cased,english_gold,short,hinglish,0.41000000000000003,0.5812499999999999,0.1712499999999999
google/muril-base-cased,english_gold,full_sentence,en,0.0,0.638888888888889,0.638888888888889
google/muril-base-cased,english_gold,full_sentence,hi,0.08641975308641975,0.6481481481481481,0.5617283950617284
google/muril-base-cased,english_gold,full_sentence,hinglish,0.43999999999999995,0.56875,0.12875000000000003
google/muril-base-cased,same_language_gold,short,en,0.29000000000000004,0.5944444444444444,0.3044444444444444
google/muril-base-cased,same_language_gold,short,hi,0.2592592592592593,0.5617283950617284,0.30246913580246915
google/muril-base-cased,same_language_gold,short,hinglish,0.39,0.5812499999999999,0.19124999999999992
google/muril-base-cased,same_language_gold,full_sentence,en,0.0,0.638888888888889,0.638888888888889
google/muril-base-cased,same_language_gold,full_sentence,hi,0.0,0.5987654320987654,0.5987654320987654
google/muril-base-cased,same_language_gold,full_sentence,hinglish,0.0,0.49375,0.49375
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,short,en,0.83,0.8,-0.029999999999999916
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,short,hi,0.6049382716049383,0.7037037037037037,0.09876543209876543
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,short,hinglish,0.66,0.6125,-0.04749999999999999
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,full_sentence,en,0.9299999999999999,0.9888888888888888,0.05888888888888888
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,full_sentence,hi,0.7160493827160495,0.7901234567901234,0.07407407407407396
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english_gold,full_sentence,hinglish,0.7300000000000001,0.6375,-0.09250000000000014
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,short,en,0.83,0.8,-0.029999999999999916
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,short,hi,0.6049382716049383,0.691358024691358,0.08641975308641969
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,short,hinglish,0.6100000000000001,0.6,-0.01000000000000012
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,full_sentence,en,0.9299999999999999,0.9888888888888888,0.05888888888888888
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,full_sentence,hi,0.7530864197530864,0.8641975308641974,0.11111111111111094
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,same_language_gold,full_sentence,hinglish,0.31,0.6625,0.3525

"# Section 2: direct probe -- correct vs its own edit, no gold involved"
encoder,mean_cosine_correct_vs_own_minimal_hard,mean_cosine_correct_vs_handwritten_wrong_hard
sentence-transformers/all-MiniLM-L6-v2,0.9318863199307368,0.7622844597388958
sentence-transformers/LaBSE,0.9209241179319528,0.610778932941371
intfloat/multilingual-e5-base,0.9782020908135635,0.893200159072876
google/muril-base-cased,0.9998296086604779,0.9966533019624907
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8968075238741361,0.7066453017037491

# Section 3: mean string length by variant x label
variant,label,n,mean_string_length
en,correct,10,129.6
en,wrong_hard,10,40.5
en,wrong_subtle,10,41.3
en,minimal_hard,9,128.22222222222223
en,minimal_subtle,10,130.5
hi,correct,9,95.66666666666667
hi,wrong_hard,9,35.22222222222222
hi,wrong_subtle,9,39.111111111111114
hi,minimal_hard,9,96.66666666666667
hi,minimal_subtle,8,99.5
hinglish,correct,10,95.4
hinglish,wrong_hard,10,42.5
hinglish,wrong_subtle,10,44.1
hinglish,minimal_hard,8,97.75
hinglish,minimal_subtle,7,101.28571428571429
