encoder,gold_mode,gold_length,variant,label,case_id,task_id,gold_text,answer,cosine_similarity
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,sun_rise_direction__hinglish__wrong_subtle,sun_rise_direction,East,Suraj uttar-purab disha mein ugta hai.,0.1566104292869568
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,sun_rise_direction__hinglish__wrong_hard,sun_rise_direction,East,Suraj paschim disha mein ugta hai.,0.07330918312072754
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,days_in_leap_year__en,days_in_leap_year,366,"A leap year has 366 days, because an extra day (February 29) is added to keep the calendar in sync with the Earth’s orbit.",0.2308633029460907
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,days_in_leap_year__en__wrong_subtle,days_in_leap_year,366,A leap year has 365 days.,0.24011506140232086
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,days_in_leap_year__en__wrong_hard,days_in_leap_year,366,A leap year has 400 days.,0.2367413192987442
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,days_in_leap_year__hi,days_in_leap_year,366,एक लीप वर्ष में 366 दिन होते हैं। यह इसलिए होता है क्योंकि फरवरी में 29 दिन होते हैं।,0.31088995933532715
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,days_in_leap_year__hi__wrong_subtle,days_in_leap_year,366,एक लीप वर्ष में 365 दिन होते हैं।,0.19548341631889343
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,days_in_leap_year__hi__wrong_hard,days_in_leap_year,366,एक लीप वर्ष में 400 दिन होते हैं।,0.10732398927211761
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,days_in_leap_year__hinglish,days_in_leap_year,366,"Leap year mein 366 din hote hain, kyunki February mein 29 din hote hain.",0.2948731780052185
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,days_in_leap_year__hinglish__wrong_subtle,days_in_leap_year,366,Ek leap year mein 365 din hote hain.,0.21981732547283173
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,days_in_leap_year__hinglish__wrong_hard,days_in_leap_year,366,Ek leap year mein 400 din hote hain.,0.18295562267303467
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,father_of_nation_india__en,father_of_nation_india,Mahatma Gandhi,"Mahatma Gandhi is called the “Father of the Nation” in India, for leading the country’s non‑violent struggle for independence from British rule.",0.690437912940979
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,father_of_nation_india__en__wrong_subtle,father_of_nation_india,Mahatma Gandhi,Mahatma Gandhi is known as the Netaji of India.,0.7543726563453674
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,father_of_nation_india__en__wrong_hard,father_of_nation_india,Mahatma Gandhi,Jawaharlal Nehru is known as the Father of the Nation in India.,0.5383824110031128
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,father_of_nation_india__hi__wrong_subtle,father_of_nation_india,Mahatma Gandhi,महात्मा गांधी को भारत का नेताजी कहा जाता है।,0.34453609585762024
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,father_of_nation_india__hi__wrong_hard,father_of_nation_india,Mahatma Gandhi,भारत में जवाहरलाल नेहरू को राष्ट्रपिता के रूप में जाना जाता है।,0.26745685935020447
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,father_of_nation_india__hinglish,father_of_nation_india,Mahatma Gandhi,Mahatma Gandhi ko Bharat ka rashtrapita mana jata hai. Unhone ahimsa aur satyagraha se desh ki azadi ki ladai ladhi.,0.644942045211792
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,father_of_nation_india__hinglish__wrong_subtle,father_of_nation_india,Mahatma Gandhi,Mahatma Gandhi ko Bharat ka Netaji kaha jata hai.,0.7589073181152344
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,father_of_nation_india__hinglish__wrong_hard,father_of_nation_india,Mahatma Gandhi,Bharat mein Jawaharlal Nehru ko rashtrapita ke roop mein jana jata hai.,0.4878138601779938
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,correct,boiling_point_water_c__en,boiling_point_water_c,100 degrees Celsius,Water boils at 100 °C at sea level (standard atmospheric pressure of 1 atm).,0.5373659133911133
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_subtle,boiling_point_water_c__en__wrong_subtle,boiling_point_water_c,100 degrees Celsius,Water boils at 0 degrees Celsius at sea level.,0.5244184732437134
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,en,wrong_hard,boiling_point_water_c__en__wrong_hard,boiling_point_water_c,100 degrees Celsius,Water boils at 50 degrees Celsius at sea level.,0.5811783671379089
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,correct,boiling_point_water_c__hi,boiling_point_water_c,100 degrees Celsius,समुद्र तल पर पानी 100 डिग्री सेल्सियस पर उबलता है। यह मान मानक वायुमंडलीय दबाव (1 atm) पर लागू होता है।,0.16773788630962372
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_subtle,boiling_point_water_c__hi__wrong_subtle,boiling_point_water_c,100 degrees Celsius,समुद्र तल पर पानी 0 डिग्री सेल्सियस पर उबलता है।,0.07432610541582108
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hi,wrong_hard,boiling_point_water_c__hi__wrong_hard,boiling_point_water_c,100 degrees Celsius,समुद्र तल पर पानी 50 डिग्री सेल्सियस पर उबलता है।,0.13616091012954712
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,correct,boiling_point_water_c__hinglish,boiling_point_water_c,100 degrees Celsius,"Pani samudra tal par 100 °C par ubalta hai, kyunki yeh standard atmospheric pressure (1 atm) par hota hai.",0.4300714135169983
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_subtle,boiling_point_water_c__hinglish__wrong_subtle,boiling_point_water_c,100 degrees Celsius,Samudra tal par pani 0 degree Celsius par ubalta hai.,0.4665907621383667
sentence-transformers/all-MiniLM-L6-v2,english_gold,short,hinglish,wrong_hard,boiling_point_water_c__hinglish__wrong_hard,boiling_point_water_c,100 degrees Celsius,Samudra tal par pani 50 degree Celsius par ubalta hai.,0.49979978799819946
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,correct,capital_maharashtra__en,capital_maharashtra,The capital of Maharashtra is Mumbai.,"Mumbai is the capital of Maharashtra, the most populous state in India.",0.9090187549591064
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_subtle,capital_maharashtra__en__wrong_subtle,capital_maharashtra,The capital of Maharashtra is Mumbai.,Mumbai is the capital of India.,0.9004487991333008
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_hard,capital_maharashtra__en__wrong_hard,capital_maharashtra,The capital of Maharashtra is Mumbai.,The capital of Maharashtra is Chennai.,0.8241954445838928
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,correct,capital_maharashtra__hi,capital_maharashtra,The capital of Maharashtra is Mumbai.,"महाराष्ट्र की राजधानी मुंबई है, जो भारत का एक प्रमुख आर्थिक केंद्र है।",0.3153025507926941
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_subtle,capital_maharashtra__hi__wrong_subtle,capital_maharashtra,The capital of Maharashtra is Mumbai.,मुंबई भारत की राजधानी है।,0.2892957925796509
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_hard,capital_maharashtra__hi__wrong_hard,capital_maharashtra,The capital of Maharashtra is Mumbai.,महाराष्ट्र की राजधानी चेन्नई है।,0.3066529631614685
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,correct,capital_maharashtra__hinglish,capital_maharashtra,The capital of Maharashtra is Mumbai.,Maharashtra ki rajdhani Mumbai hai. Ye India ka financial capital bhi hai.,0.6249815225601196
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,wrong_subtle,capital_maharashtra__hinglish__wrong_subtle,capital_maharashtra,The capital of Maharashtra is Mumbai.,Mumbai Bharat ki rajdhani hai.,0.6017835140228271
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,wrong_hard,capital_maharashtra__hinglish__wrong_hard,capital_maharashtra,The capital of Maharashtra is Mumbai.,Maharashtra ki rajdhani Chennai hai.,0.5850505828857422
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,correct,planets_count__en,planets_count,There are eight planets in our solar system.,"There are eight planets in our solar system—Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. Pluto was reclassified as a dwarf planet in 2006, so it is no longer counted among the main planets.",0.8130086660385132
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_subtle,planets_count__en__wrong_subtle,planets_count,There are eight planets in our solar system.,"There are nine planets in our solar system, including Pluto.",0.8754763603210449
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_hard,planets_count__en__wrong_hard,planets_count,There are eight planets in our solar system.,There are twelve planets in our solar system.,0.8719205856323242
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,correct,planets_count__hi,planets_count,There are eight planets in our solar system.,"हमारे सौर मंडल में 8 ग्रह हैं: बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस और नेपच्यून। 2006 में प्लूटो को बौना ग्रह घोषित कर दिया गया, इसलिए अब इसे मुख्य ग्रहों में नहीं गिना जाता।",0.12908366322517395
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_subtle,planets_count__hi__wrong_subtle,planets_count,There are eight planets in our solar system.,"हमारे सौर मंडल में नौ ग्रह हैं, जिसमें प्लूटो भी शामिल है।",0.054052043706178665
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_hard,planets_count__hi__wrong_hard,planets_count,There are eight planets in our solar system.,हमारे सौर मंडल में बारह ग्रह हैं।,0.011658132076263428
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,correct,planets_count__hinglish,planets_count,There are eight planets in our solar system.,Hamare Saur Mandal mein 8 grah hain. 2015 se Pluto ko dwarf planet gina jata hai.,0.4297090768814087
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,wrong_subtle,planets_count__hinglish__wrong_subtle,planets_count,There are eight planets in our solar system.,"Hamare saur mandal mein nau grah hain, jismein Pluto bhi shamil hai.",0.18500685691833496
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,wrong_hard,planets_count__hinglish__wrong_hard,planets_count,There are eight planets in our solar system.,Hamare saur mandal mein barah grah hain.,0.06113000586628914
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,correct,freedom_year__en,freedom_year,India gained independence in 1947.,"India gained independence in 1947, ending nearly 200 years of British colonial rule.",0.8629738688468933
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_subtle,freedom_year__en__wrong_subtle,freedom_year,India gained independence in 1947.,India gained independence in 1948.,0.8716419339179993
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_hard,freedom_year__en__wrong_hard,freedom_year,India gained independence in 1947.,India gained independence in 1857.,0.7718548774719238
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,correct,freedom_year__hi,freedom_year,India gained independence in 1947.,"भारत को 1947 में स्वतंत्रता मिली, 15 अगस्त को आज़ादी का दिन मनाया जाता है।",0.3526361286640167
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_subtle,freedom_year__hi__wrong_subtle,freedom_year,India gained independence in 1947.,भारत को 1948 में स्वतंत्रता मिली।,0.33359402418136597
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_hard,freedom_year__hi__wrong_hard,freedom_year,India gained independence in 1947.,भारत को 1857 में स्वतंत्रता मिली।,0.2692706286907196
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,correct,freedom_year__hinglish,freedom_year,India gained independence in 1947.,"Bharat ko 1947 mein aazadi mili, 15 August ko. Yeh din aaj bhi Independence Day ke roop mein manaya jata hai.",0.6721975803375244
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,wrong_subtle,freedom_year__hinglish__wrong_subtle,freedom_year,India gained independence in 1947.,Bharat ko 1948 mein aazadi mili.,0.4734085500240326
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,wrong_hard,freedom_year__hinglish__wrong_hard,freedom_year,India gained independence in 1947.,Bharat ko 1857 mein aazadi mili.,0.41354185342788696
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,correct,water_formula__en,water_formula,The chemical formula of water is H2O.,"The chemical formula of water is **H₂O**, indicating that each molecule contains two hydrogen atoms bonded to one oxygen atom.",0.8179184198379517
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_subtle,water_formula__en__wrong_subtle,water_formula,The chemical formula of water is H2O.,The chemical formula of water is H2O2.,0.9930542707443237
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,en,wrong_hard,water_formula__en__wrong_hard,water_formula,The chemical formula of water is H2O.,The chemical formula of water is CO2.,0.8026951551437378
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,correct,water_formula__hi,water_formula,The chemical formula of water is H2O.,"पानी का रासायनिक सूत्र **H₂O** है, अर्थात् दो हाइड्रोजन और एक ऑक्सीजन परमाणु से बना होता है.",0.20481282472610474
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_subtle,water_formula__hi__wrong_subtle,water_formula,The chemical formula of water is H2O.,पानी का रासायनिक सूत्र H2O2 है।,0.41614627838134766
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hi,wrong_hard,water_formula__hi__wrong_hard,water_formula,The chemical formula of water is H2O.,पानी का रासायनिक सूत्र CO2 है।,0.22357380390167236
sentence-transformers/all-MiniLM-L6-v2,english_gold,full_sentence,hinglish,correct,water_formula__hinglish,water_formula,The chemical formula of water is H2O.,Pani ka rasayanik sutra H₂O hai. Isme do hydrogen atoms aur ek oxygen atom hota hai.,0.3679567575454712
