trace_id,question,answer,judge_reasoning,grader_verdict_correct_or_wrong,grader_notes
T011,तीर को दूर तक भेजने के लिए कमान का तार कैसा होना चाहिए?,कमान का तार कसा हुआ और लचीला होना चाहिए ताकि तीर पर ज़ोर से धकेला जा सके।,"प्रश्न पूछ रहा है कि तीर को दूर तक भेजने के लिए कमान का तार किस प्रकार का होना चाहिए। सही उत्तर में यह बताया जाना चाहिए कि तार को पर्याप्त रूप से कसकर (tight) होना चाहिए ताकि अधिक ऊर्जा संग्रहीत हो सके, साथ ही वह बहुत अधिक खिंचाव (stretch) न करे, यानी मजबूत और कम लचीलापन वाला होना चाहिए। उत्तर में कहा गया है कि तार ""कसा हुआ और लचीला"" होना चाहिए। ""कसा हुआ"" भाग सही है, पर ""लचीला"" भाग भ्रामक है क्योंकि अत्यधिक लचीलापन ऊर्जा के नुकसान का कारण बनता है। इसलिए उत्तर केवल आंशिक रूप से सही है।",,
T043,साल के आख़िरी क्वार्टर में कौन से महीने आते हैं?,"साल के आख़िरी क्वार्टर में अक्टूबर, नवंबर और दिसंबर आते हैं।","प्रश्न पूछ रहा है कि साल के आख़िरी क्वार्टर (Q4) में कौन‑से महीने आते हैं। एक कैलेंडर वर्ष को चार क्वार्टर में बाँटा जाता है: Q1 = जनवरी‑मार्च, Q2 = अप्रैल‑जून, Q3 = जुलाई‑सितंबर, Q4 = अक्टूबर‑नवंबर‑दिसंबर। इसलिए उत्तर में बताए गए अक्टूबर, नवंबर और दिसंबर ही सही महीने हैं। उत्तर प्रश्न को सीधे और तथ्यात्मक रूप से सही ढंग से संबोधित करता है।",,
T023,रजिस्टर्ड डाक भेजने के लिए डाकघर में क्या जमा करना होता है?,डाकघर में बंद लिफ़ाफ़ा और रजिस्ट्री का शुल्क जमा करना होता है।,"प्रश्न पूछ रहा है कि रजिस्टर्ड डाक भेजने के लिए डाकघर में क्या जमा करना होता है। सही उत्तर में आमतौर पर दो मुख्य चीज़ें होती हैं: (1) डाक (बंद लिफ़ाफ़ा या पार्सल) और (2) रजिस्ट्री शुल्क के साथ साथ सामान्य डाक शुल्क (पोस्टेज) भी देना पड़ता है। AI सहायक ने कहा कि ""बंद लिफ़ाफ़ा और रजिस्ट्री का शुल्क"" जमा करना होता है। यह भाग सही है—बंद लिफ़ाफ़ा और रजिस्ट्री शुल्क दोनों आवश्यक हैं। लेकिन इसमें सामान्य डाक शुल्क (पोस्टेज) का उल्लेख नहीं किया गया है, जो रजिस्टर्ड डाक भेजने के लिए भी अनिवार्य है। इसलिए उत्तर पूरी तरह से पूर्ण नहीं है, लेकिन मुख्य बिंदु को कवर करता है। इस कारण इसे आंशिक रूप से सही माना जाएगा।",,
T052,बैंक से निकासी के लिए कौन सा पर्चा भरना पड़ता है?,"निकासी तो जल-निकासी की नाली होती है, बैंक में उसका कोई पर्चा नहीं भरा जाता।","प्रश्न पूछ रहा है कि बैंक से पैसे निकालने के लिए कौन‑सा पर्चा (फॉर्म) भरना पड़ता है। सामान्यतः बैंक में निकासी के लिए 'निकासी पर्चा' या 'विथड्रॉअल स्लिप' भरना पड़ता है। AI सहायक का उत्तर कहता है कि निकासी जल‑निकासी की नाली है और बैंक में कोई पर्चा नहीं भरते, जो प्रश्न के संदर्भ से पूरी तरह असंबंधित और तथ्यात्मक रूप से गलत है। इसलिए उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता और तथ्यात्मक रूप से भी गलत है।",,
T031,रोज़ कौन सा फल खाना सेहत के लिए सबसे अच्छा माना जाता है?,रोज़ एक सेब खाना सेहत के लिए बहुत अच्छा माना जाता है।,"प्रश्न पूछ रहा है कि रोज़ (दैनिक) कौन‑सा फल खाने से स्वास्थ्य के लिए सबसे अच्छा माना जाता है। उत्तर ने सीधे इस प्रश्न का उत्तर दिया है और कहा है कि रोज़ एक सेब खाना स्वास्थ्य के लिए बहुत अच्छा माना जाता है। सेब को सामान्यतः स्वास्थ्यवर्धक फल माना जाता है (जैसे ‘सेब रोज़ एक बार डॉक्टर को दूर रखता है’ जैसी कहावत)। इसलिए उत्तर प्रश्न को सही ढंग से, तथ्यात्मक रूप से और सीधे संबोधित करता है।",,
T025,गुरु दक्षिणा देने का क्या महत्व है?,गुरु दक्षिणा शिष्य द्वारा अपने गुरु के ज्ञान के प्रति आभार व्यक्त करने का परंपरागत तरीका है।,"प्रश्न पूछ रहा है कि गुरु दक्षिणा देने का क्या महत्व है। उत्तर में कहा गया है कि गुरु दक्षिणा शिष्य द्वारा अपने गुरु के ज्ञान के प्रति आभार व्यक्त करने का परंपरागत तरीका है। यह तथ्यात्मक रूप से सही है—गुरु दक्षिणा वास्तव में गुरु के प्रति कृतज्ञता, सम्मान और आभार दिखाने की परम्परा है। हालांकि उत्तर में इस महत्व के अतिरिक्त पहलुओं जैसे आध्यात्मिक लाभ, गुरु‑शिष्य संबंध की गहराई, या सामाजिक‑सांस्कृतिक महत्व का उल्लेख नहीं किया गया है, फिर भी यह प्रश्न का मुख्य बिंदु सही‑सही संबोधित करता है। इसलिए उत्तर को सही माना जाता है, पर पूर्णता के अभाव के कारण पूर्ण अंक नहीं दिए जा सकते।",,
T001,भारत के उत्तर में कौन सा देश है — नेपाल या श्रीलंका?,भारत के उत्तर में नेपाल स्थित है; श्रीलंका दक्षिण में है।,"प्रश्न पूछ रहा है कि भारत के उत्तर में कौन सा देश स्थित है, विकल्प नेपाल या श्रीलंका। उत्तर में बताया गया कि नेपाल उत्तर में है और श्रीलंका दक्षिण में है, जो तथ्यात्मक रूप से सही है। इसलिए उत्तर प्रश्न को सही ढंग से, तथ्यात्मक रूप से और सीधे संबोधित करता है।",,
T047,किश्त जमा करने के बाद शेष राशि कैसे निकाली जाती है?,कुल राशि में से जमा की गई किश्त घटाकर शेष राशि निकाली जाती है।,"प्रश्न पूछ रहा है कि किश्त जमा करने के बाद शेष राशि कैसे निकाली जाती है। उत्तर में कहा गया है कि कुल राशि में से जमा की गई किश्त घटा दी जाती है, जिससे शेष राशि प्राप्त होती है। यह गणना का मूल सिद्धांत है और प्रश्न को सीधे, सही और तथ्यात्मक रूप से उत्तर देता है। इसलिए उत्तर पूर्णतः सही है।",,
T026,गुरु दक्षिणा देने का क्या महत्व है?,"गुरु तो भारी वस्तु को कहते हैं, भारी चीज़ की दक्षिणा कौन देता है।","प्रश्न पूछ रहा है कि गुरु दक्षिणा देने का क्या महत्व है, यानी गुरु को दक्षिणा (दान) देने का धार्मिक, आध्यात्मिक या सामाजिक महत्व क्या है। सही उत्तर में गुरु के प्रति सम्मान, आशीर्वाद, कर्तव्य, आध्यात्मिक लाभ आदि की व्याख्या होनी चाहिए। AI सहायक का उत्तर ""गुरु तो भारी वस्तु को कहते हैं, भारी चीज़ की दक्षिणा कौन देता है"" प्रश्न से असंबंधित है, कोई तथ्यात्मक जानकारी नहीं देता और न ही गुरु दक्षिणा के महत्व को समझाता है। इसलिए यह उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता और तथ्यात्मक रूप से भी गलत है।",,
T058,डेढ़ घंटे की परीक्षा में छात्रों को कितने मिनट मिलते हैं?,डेढ़ घंटे की परीक्षा में 75 मिनट मिलते हैं।,"प्रश्न पूछ रहा है कि डेढ़ घंटे (1.5 घंटे) में कुल कितने मिनट होते हैं। 1 घंटे में 60 मिनट होते हैं, इसलिए 1.5 घंटे = 60 + 30 = 90 मिनट। AI सहायक ने 75 मिनट कहा है, जो गणना से गलत है। इसलिए उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता, तथ्यात्मक रूप से गलत है।",,
T029,गर्म तेल से बाल मालिश करने का क्या फ़ायदा है?,तेल की मालिश बालों की जड़ों को पोषण देती है और बाल मुलायम-चमकदार बनते हैं।,"प्रश्न पूछ रहा है कि गर्म तेल से बालों की मालिश करने से क्या लाभ होते हैं। उत्तर में बताया गया है कि तेल की मालिश बालों की जड़ों को पोषण देती है और बाल मुलायम‑चमकदार बनते हैं। यह जानकारी सामान्य ज्ञान और कई विश्वसनीय स्रोतों (जैसे बाल देखभाल विशेषज्ञों और सौंदर्य लेखों) में दी गई लाभों के अनुरूप है। उत्तर सीधे प्रश्न का उत्तर देता है, तथ्यात्मक रूप से सही है और कोई गलत सूचना नहीं देता। हालांकि अतिरिक्त लाभ (जैसे रक्त परिसंचरण में सुधार, रूझान कम होना आदि) का उल्लेख नहीं किया गया, लेकिन प्रस्तुत किए गए लाभ प्रश्न के मुख्य उद्देश्य को पर्याप्त रूप से पूरा करते हैं। इसलिए उत्तर को पूर्णतः सही माना जाता है।",,
T042,सूर्य नमस्कार की पहली क्रिया कौन सी है?,"क्रिया तो व्याकरण का शब्द होता है, योग में क्रिया नहीं होती।","प्रश्न पूछ रहा है कि सूर्य नमस्कार की पहली क्रिया (पहला चरण) क्या है। यह योग के क्रम में पहला आसन या आंदोलन है, आमतौर पर इसे प्रनामासन (हाथों को जोड़कर नमस्ते) कहा जाता है। सहायक का उत्तर कहता है कि ‘क्रिया’ व्याकरण का शब्द है और योग में क्रिया नहीं होती, जो प्रश्न को पूरी तरह अनदेखा करता है और तथ्यात्मक रूप से भी गलत है। इसलिए उत्तर प्रश्न को सही‑सही नहीं संबोधित करता, न ही सही जानकारी देता। इसलिए इसे पूर्णतः गलत माना जाता है।",,
T027,मंच पर नृत्य देखकर दर्शकों ने दाद क्यों दी?,नृत्य इतना सुंदर था कि दर्शक झूम उठे और तालियों की दाद देने लगे।,"प्रश्न पूछ रहा है कि मंच पर नृत्य देखने के बाद दर्शकों ने दाद (ताली) क्यों दी। उत्तर में कहा गया है कि नृत्य बहुत सुंदर था, दर्शक झूम उठे और तालियों की दाद देने लगे। यह कारण सीधे प्रश्न का उत्तर देता है और सामान्य समझ के अनुसार सही है—सुंदर नृत्य देखकर दर्शक ताली बजाते हैं। कोई तथ्यात्मक त्रुटि नहीं है, इसलिए उत्तर को पूर्णतः सही माना जाता है।",,
T050,सावधि जमा पर परिपक्वता के समय मूलधन के साथ क्या मिलता है?,मूलधन यानी जड़ों से प्राप्त धन — पेड़ की जड़ों से कोई धन नहीं निकलता।,"प्रश्न पूछ रहा है कि सावधि जमा (फ़िक्स्ड डिपॉज़िट) की परिपक्वता पर मूलधन के साथ क्या मिलता है। सामान्य वित्तीय ज्ञान के अनुसार, परिपक्वता पर जमा‑धनधारक को मूलधन के साथ जमा पर अर्जित ब्याज भी मिलता है, अर्थात कुल राशि (मूलधन + ब्याज) प्राप्त होती है। AI सहायक का उत्तर ‘मूलधन यानी जड़ों से प्राप्त धन — पेड़ की जड़ों से कोई धन नहीं निकलता’ पूरी तरह से प्रश्न से असंबंधित है और तथ्यात्मक रूप से गलत है। इसलिए उत्तर प्रश्न को सही ढंग से नहीं संबोधित करता, न ही तथ्यात्मक है।",,
T013,गीता पर सबसे प्रसिद्ध टीका किसने लिखी है?,"गीता पर अनेक टीकाएँ लिखी गई हैं, जिनमें आदि शंकराचार्य की टीका सबसे प्रसिद्ध मानी जाती है।","प्रश्न पूछ रहा है कि गीता पर सबसे प्रसिद्ध टीका किसने लिखी है। गीता पर कई प्रमुख टीकाएँ हैं, परन्तु शास्त्रीय और व्यापक रूप से मान्य सबसे प्रसिद्ध टीका आदि शंकराचार्य द्वारा लिखी गई 'गीता‑भाष्य' है। AI सहायक ने यही उत्तर दिया है कि आदि शंकराचार्य की टीका सबसे प्रसिद्ध मानी जाती है। यह तथ्यात्मक रूप से सही है, इसलिए उत्तर प्रश्न को सही ढंग से, तथ्यात्मक रूप से और सीधे संबोधित करता है।",,
T036,अगर 50 रुपये दो गुना हो जाएँ तो कितने होंगे?,दो गुना यानी दो गुण — रुपयों में गुण नहीं गिने जाते।,"प्रश्न पूछ रहा है कि 50 रुपये दो गुना होने पर कितने रुपये होंगे। दो गुना का अर्थ है मूल राशि को 2 से गुणा करना, अर्थात् 50 × 2 = 100 रुपये। AI सहायक ने कहा कि ""रुपयों में गुण नहीं गिने जाते"" और कोई संख्यात्मक उत्तर नहीं दिया, जो प्रश्न का सही उत्तर नहीं है। इसलिए उत्तर तथ्यात्मक रूप से गलत और प्रश्न को सीधे संबोधित नहीं करता।",,
